tickIdx,liquidityNet,timestamp,current_tick,pool_id,cumulative_liquidity
-887220,556907408156069,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,556907408156069
-887160,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,556907408156069
-92100,456406095307,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,557363814251376
0,10943161472679,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,568306975724055
92040,1620915153,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,568308596639208
92100,3628502567937,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571937099207145
114060,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571937099207145
115860,556573869747,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,572493673076892
130260,17251205334,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,572510924282226
139200,-556573869747,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
145080,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
145140,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
151800,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
152640,40166358066529,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,612120708479008
152880,-40166358066529,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
153360,155684471699734,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,727638822112213
153420,-155684471699734,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
153780,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
154020,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
154260,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
159000,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
161160,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
161220,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
168600,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
176220,358354299830,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,572312704712309
180900,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,572312704712309
183180,-358354299830,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,571954350412479
184200,20645495131032,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
191160,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
192900,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
195180,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
195300,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
195660,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
196080,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
196800,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
197220,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
197640,0,1734584403,263420,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,592599845543511
